Identifiant X Y Z
284 94.000 102.016 103.032 
285 94.010 97.865 103.053 
286 94.020 101.295 105.922
289 93.784 97.570 111.812
291 96.052 96.939 105.920
292 98.077 96.943 106.000
293 94.634 96.651 111.790
294 99.639 96.704 111.788
325 99.581 95.989 99.769
326 106.093 96.065 99.596
327 99.230 95.961 103.405
328 104.647 95.858 103.718
329 111.476 96.036 103.772
337 111.899 95.865 100.058
338 111.884 90.382 99.545
339 111.846 90.219 103.783
340 111.953 89.759 99.404
341 119.534 89.723 99.487
342 93.779 102.278 111.805
343 94.013 98.736 106.237
351 119.611 89.898 99.854
352 119.666 95.830 100.212
353 119.521 89.732 103.741
354 119.755 95.673 103.883
355 125.716 95.858 99.724
356 125.958 95.885 103.736
365 119.795 109.617 99.450
366 119.840 110.186 103.893
367 112.214 110.204 99.767
370 111.649 104.106 104.139
371 107.393 103.928 99.932
375 103.396 104.094 103.426
376 99.551 103.988 100.019
377 97.625 102.998 100.831
379 128.572 98.381 103.581
381 128.245 101.952 103.558
383 125.879 103.887 103.884
385 119.765 104.074 103.504
387 98.026 103.220 106.621
389 100.212 101.852 111.791
435 98.347 98.325 99.946
436 95.766 98.318 99.576
437 95.369 100.002 99.376
438 95.755 101.645 99.745
439 97.733 101.655 100.135
440 98.673 98.765 101.665
441 98.413 98.281 103.770
484 102.708 97.058 99.857
486 102.170 101.229 99.546
487 101.365 97.719 102.913
488 102.163 100.056 102.478
489 99.989 102.940 103.332
490 104.346 96.780 103.223
491 95.451 98.282 103.631
493 98.110 101.632 103.703
494 99.378 101.056 103.739
495 99.542 98.873 103.697
497 106.176 97.000 99.837
498 108.299 96.805 103.264
500 112.375 97.014 99.540
501 101.514 103.043 99.578
502 104.656 103.231 102.960
503 109.251 103.240 103.177
504 112.361 102.993 99.482
505 112.834 104.275 101.678
506 112.806 106.324 99.490
507 112.833 108.156 101.723
508 114.906 109.292 103.999
509 116.356 109.268 99.619
510 117.481 109.360 103.386
511 99.231 99.879 113.192
512 119.811 103.107 103.405
513 122.916 103.066 101.093
514 122.825 96.799 101.314
515 119.873 96.869 103.160
516 118.101 90.656 99.830
517 116.441 90.600 103.393
518 114.317 90.720 99.449
519 112.521 91.470 103.235
520 112.649 94.294 100.809
521 112.672 96.651 103.368
523 111.882 109.668 104.001
526 98.153 101.506 107.965
527 95.374 98.510 104.617
528 95.600 101.600 104.731
529 98.666 101.145 104.799
530 98.540 98.272 104.644
531 118.895 96.423 101.922
533 94.203 96.689 99.547
534 128.423 97.965 99.574
535 125.965 103.839 99.658
536 126.198 96.079 103.937
537 128.646 101.410 100.115
538 111.883 90.382 99.545
539 99.036 96.981 99.982
595 99.179 97.648 112.828
601 95.417 97.682 112.808
602 97.057 97.630 114.128
603 119.797 103.996 100.215
604 111.986 104.080 100.363
605 93.793 99.990 99.514
606 93.659 102.968 100.160
607 93.646 96.986 100.101 
701 126.012 99.914 107.738
702 116.089 107.094 107.931
703 101.150 99.997 107.915
704 115.678 93.229 107.961
705 97.533 100.298 125.159
706 115.873 100.162 107.869
801 114.100 102.953 105.501
802 114.323 108.297 105.969
803 116.840 106.811 106.142
804 117.794 103.071 105.354
805 122.970 98.817 106.010
806 121.100 102.768 104.574
807 121.446 97.104 104.594
808 109.642 97.106 104.477
809 110.003 102.817 104.608
810 118.463 94.509 104.555
811 116.420 92.788 106.131
812 114.320 94.543 105.859
813 115.503 90.876 104.589
814 105.532 102.901 104.567
815 105.416 97.137 104.502
816 102.936 98.070 105.366
